Training,Department,ECN,Update Date,Description
Safety Procedures,Assembly,A,2025-01-01,Initial training release
Safety Procedures,Assembly,B,2025-03-01,Updated procedures for emergency drills
Tool Handling,Assembly,B,2025-01-10,Initial training release
Assembly Line Efficiency,Assembly,C,2025-02-01,Initial training release
Assembly Line Efficiency,Assembly,D,2025-04-01,Optimized workflow techniques
Quality Inspection Basics,Quality Control,C,2025-01-05,Initial training release
Quality Inspection Basics,Quality Control,D,2025-03-20,Added advanced inspection tools
Defect Identification,Quality Control,D,2025-01-15,Initial training release
Preventive Maintenance 101,Maintenance,F,2025-01-12,Initial training release
Preventive Maintenance 101,Maintenance,G,2025-03-18,Updated with predictive maintenance methods
Lean Manufacturing Principles,Production,H,2025-02-10,Initial training release
Lean Manufacturing Principles,Production,I,2025-03-25,Added case studies
Process Optimization,Production,I,2025-02-20,Initial training release
Process Optimization,Production,J,2025-04-05,Integrated automation techniques
Material Handling,Production,J,2025-02-28,Initial training release
Material Handling,Production,K,2025-04-10,Added safety guidelines for new materials

